EFO Accession,CLO Accession,,Step,Type
EFO_0006675,CLO_0008061,,EFO-CLS-CLO,Valid
EFO_0002281,CLO_0008059,,EFO-CLS-CLO,Valid
EFO_0002283,CLO_0008062,,EFO-CLS-CLO,Valid
EFO_0006676,CLO_0008063,,EFO-CLS-CLO,Valid
EFO_0002280,CLO_0008056,,EFO-CLS-CLO,Valid
EFO_0006674,CLO_0008057,,EFO-CLS-CLO,Valid
EFO_0006673,CLO_0008054,,EFO-CLS-CLO,Valid
EFO_0002279,CLO_0008055,,EFO-CLS-CLO,Valid
EFO_0002207,CLO_0004298,,EFO-CLS-CLO,Valid
EFO_0002286,CLO_0008071,,EFO-CLS-CLO,Valid
EFO_0002779,CLO_0001980,,EFO-CLS-CLO,Valid
EFO_0002241,CLO_0007890,,EFO-CLS-CLO,Valid
EFO_0006677,CLO_0008064,,EFO-CLS-CLO,Valid
EFO_0002284,CLO_0008067,,EFO-CLS-CLO,Valid
EFO_0002285,CLO_0008068,,EFO-CLS-CLO,Valid
EFO_0002199,CLO_0004264,,EFO-CLS-CLO,Valid
EFO_0002156,CLO_0002673,,EFO-CLS-CLO,Valid
EFO_0006477,CLO_0008814,,EFO-CLS-CLO,Valid
EFO_0002225,CLO_0007189,,EFO-CLS-CLO,Valid
EFO_0002293,CLO_0008088,,EFO-CLS-CLO,Valid
EFO_0002841,CLO_0008129,,EFO-CLS-CLO,Valid
EFO_0002339,CLO_0009061,,EFO-CLS-CLO,Valid
EFO_0002292,CLO_0008087,,EFO-CLS-CLO,Valid
EFO_0001221,CLO_0008127,,EFO-CLS-CLO,Valid
EFO_0003124,CLO_0008093,,EFO-CLS-CLO,Valid
EFO_0006693,CLO_0008092,,EFO-CLS-CLO,Valid
EFO_0002294,CLO_0008091,,EFO-CLS-CLO,Valid
EFO_0002296,CLO_0008095,,EFO-CLS-CLO,Valid
EFO_0002295,CLO_0008094,,EFO-CLS-CLO,Valid
EFO_0002158,CLO_0002709,,EFO-CLS-CLO,Valid
EFO_0007115,CLO_0008130,,EFO-CLS-CLO,Valid
EFO_0006629,CLO_0007131,,EFO-CLS-CLO,Valid
EFO_0002223,CLO_0007132,,EFO-CLS-CLO,Valid
EFO_0006630,CLO_0007134,,EFO-CLS-CLO,Valid
EFO_0006631,CLO_0007135,,EFO-CLS-CLO,Valid
EFO_0006632,CLO_0007136,,EFO-CLS-CLO,Valid
EFO_0006633,CLO_0007137,,EFO-CLS-CLO,Valid
EFO_0002288,CLO_0008075,,EFO-CLS-CLO,Valid
EFO_0002287,CLO_0008074,,EFO-CLS-CLO,Valid
EFO_0006680,CLO_0008077,,EFO-CLS-CLO,Valid
EFO_0006686,CLO_0008079,,EFO-CLS-CLO,Valid
EFO_0006691,CLO_0008083,,EFO-CLS-CLO,Valid
EFO_0002291,CLO_0008085,,EFO-CLS-CLO,Valid
EFO_0006692,CLO_0008084,,EFO-CLS-CLO,Valid
EFO_0002170,CLO_0002752,,EFO-CLS-CLO,Valid
EFO_0005336,CLO_0023758,,EFO-CLS-CLO,Valid
EFO_0002161,CLO_0002782,,EFO-CLS-CLO,Valid
EFO_0002167,CLO_0002805,,EFO-CLS-CLO,Valid
EFO_0002164,CLO_0002797,,EFO-CLS-CLO,Valid
EFO_0002165,CLO_0002799,,EFO-CLS-CLO,Valid
EFO_0002162,CLO_0002795,,EFO-CLS-CLO,Valid
EFO_0002163,CLO_0002796,,EFO-CLS-CLO,Valid
EFO_0002305,CLO_0008117,,EFO-CLS-CLO,Valid
EFO_0002828,CLO_0050030,,EFO-CLS-CLO,Valid
EFO_0002306,CLO_0008118,,EFO-CLS-CLO,Valid
EFO_0002802,CLO_0037234,,EFO-CLS-CLO,Valid
EFO_0002304,CLO_0008115,,EFO-CLS-CLO,Valid
EFO_0005443,CLO_0008280,,EFO-CLS-CLO,Valid
EFO_0002303,CLO_0008114,,EFO-CLS-CLO,Valid
EFO_0006695,CLO_0008111,,EFO-CLS-CLO,Valid
EFO_0006716,CLO_0008269,,EFO-CLS-CLO,Valid
EFO_0002308,CLO_0008238,,EFO-CLS-CLO,Valid
EFO_0002301,CLO_0008108,,EFO-CLS-CLO,Valid
EFO_0006565,CLO_0002847,,EFO-CLS-CLO,Valid
EFO_0002168,CLO_0002842,,EFO-CLS-CLO,Valid
EFO_0002171,CLO_0002808,,EFO-CLS-CLO,Valid
EFO_0002173,CLO_0002873,,EFO-CLS-CLO,Valid
EFO_0006635,CLO_0007283,,EFO-CLS-CLO,Valid
EFO_0003141,CLO_0050064,,EFO-CLS-CLO,Valid
EFO_0002827,CLO_0050026,,EFO-CLS-CLO,Valid
EFO_0003140,CLO_0050073,,EFO-CLS-CLO,Valid
EFO_0006634,CLO_0007282,,EFO-CLS-CLO,Valid
EFO_0002298,CLO_0008101,,EFO-CLS-CLO,Valid
EFO_0007112,CLO_0007375,,EFO-CLS-CLO,Valid
EFO_0002714,CLO_0050113,,EFO-CLS-CLO,Valid
EFO_0002226,CLO_0007396,,EFO-CLS-CLO,Valid
EFO_0002299,CLO_0008103,,EFO-CLS-CLO,Valid
EFO_0002297,CLO_0008099,,EFO-CLS-CLO,Valid
EFO_0006571,CLO_0002893,,EFO-CLS-CLO,Valid
EFO_0006729,CLO_0008382,,EFO-CLS-CLO,Valid
EFO_0005390,CLO_0007065,,EFO-CLS-CLO,Valid
EFO_0006730,CLO_0008383,,EFO-CLS-CLO,Valid
EFO_0005713,CLO_0008384,,EFO-CLS-CLO,Valid
EFO_0002176,CLO_0002922,,EFO-CLS-CLO,Valid
EFO_0005719,CLO_0007066,,EFO-CLS-CLO,Valid
EFO_0002220,CLO_0007104,,EFO-CLS-CLO,Valid
EFO_0002844,CLO_0008394,,EFO-CLS-CLO,Valid
EFO_0002347,CLO_0009098,,EFO-CLS-CLO,Valid
EFO_0002344,CLO_0009095,,EFO-CLS-CLO,Valid
EFO_0006739,CLO_0008512,,EFO-CLS-CLO,Valid
